question_id,question_title,created_at,user_id,score,score_type,forecaster,resolution,scheduled_close_time,actual_close_time,question_weight,post_id
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,101465,-0.0112174345485605,relative_legacy,Jgalt,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,101465,64.85519224500398,spot_baseline,Jgalt,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,101465,9.58778293681033,baseline,Jgalt,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,101465,-0.8778419603932166,peer,Jgalt,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,101465,-5.130518163045823,spot_peer,Jgalt,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103777,-0.0245446441420088,relative_legacy,datscilly,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103777,-2.1377222898563986,peer,datscilly,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103777,63.97385131955608,spot_baseline,datscilly,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103777,-6.726289599640901,spot_peer,datscilly,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103777,20.36248587380317,baseline,datscilly,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103907,-9.922476230721369,peer,darkives,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103907,55.6770794097549,spot_baseline,darkives,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103907,24.13957050350427,baseline,darkives,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103907,-21.748571269899717,spot_peer,darkives,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,103907,-0.1211028418305599,relative_legacy,darkives,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,117580,70.29796569039297,spot_baseline,MaciekK,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
31268,"For Q1 2025, how many banks will be listed on the FDIC's Failed Bank List?",2025-01-17 19:06:22.013528+00,117580,8.50114819113899,baseline,MaciekK,1,2025-01-20 03:27:00+00,2025-01-20 03:27:00+00,1.0,31736
